"diseaseId","diseaseName","drugId","drugName","type","mechanismOfAction","actionType","symbol","name","phase","status","source"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A7","cytochrome P450 family 3 subfamily A member 7",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04291729%22"
"MONDO_0100096","COVID-19","CHEMBL1201657","HEPARIN SODIUM","Oligosaccharide","Antithrombin-III activator","Activator","SERPINC1","serpin family C member 1",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04394377%22"
"MONDO_0100096","COVID-19","CHEMBL1690","HYDROXYCHLOROQUINE SULFATE","Small molecule","Toll-like receptor 9 antagonist","Antagonist","TLR9","toll like receptor 9",4,"Active, not recruiting","https://clinicaltrials.gov/search?id=%22NCT04316377%22"
"MONDO_0100096","COVID-19","CHEMBL1536","ERGOCALCIFEROL","Small molecule","Vitamin D receptor agonist","Agonist","VDR","vitamin D receptor",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04411446%22"
"MONDO_0100096","COVID-19","CHEMBL1201476","ENOXAPARIN SODIUM","Oligosaccharide","Antithrombin-III activator","Activator","SERPINC1","serpin family C member 1",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04520620%22"
"MONDO_0100096","COVID-19","CHEMBL1201562","INTERFERON BETA-1A","Protein","Interferon alpha/beta receptor agonist","Agonist","IFNAR1","interferon alpha and beta receptor subunit 1",4,"Enrolling by invitation","https://clinicaltrials.gov/search?id=%22NCT04350671%22,https://clinicaltrials.gov/search?id=%22NCT04350684%22"
"MONDO_0100096","COVID-19","CHEMBL1017","TELMISARTAN","Small molecule","Type-1 angiotensin II receptor antagonist","Antagonist","AGTR1","angiotensin II receptor type 1",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04355936%22"
"MONDO_0100096","COVID-19","CHEMBL778","DEXMEDETOMIDINE","Small molecule","Adrenergic receptor alpha-2 agonist","Agonist","ADRA2C","adrenoceptor alpha 2C",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04350086%22"
"MONDO_0100096","COVID-19","CHEMBL1433","DOXYCYCLINE","Small molecule","Matrix metalloproteinase-1 inhibitor","Inhibitor","MMP1","matrix metallopeptidase 1",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04370782%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRG2","gamma-aminobutyric acid type A receptor subunit gamma2",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL521","IBUPROFEN","Small molecule","Cyclooxygenase inhibitor","Inhibitor","PTGS1","prostaglandin-endoperoxide synthase 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04334629%22"
"MONDO_0100096","COVID-19","CHEMBL547","ISOTRETINOIN","Small molecule","Retinoic acid receptor agonist","Agonist","RARB","retinoic acid receptor beta",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04623385%22"
"MONDO_0100096","COVID-19","CHEMBL1042","CHOLECALCIFEROL","Small molecule","Vitamin D receptor agonist","Agonist","VDR","vitamin D receptor",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04552951%22,https://clinicaltrials.gov/search?id=%22NCT04636086%22"
"MONDO_0100096","COVID-19","CHEMBL198362","RIVAROXABAN","Small molecule","Coagulation factor X inhibitor","Inhibitor","F10","coagulation factor X",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04394377%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 9 antagonist","Antagonist","TLR9","toll like receptor 9",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04359316%22,https://clinicaltrials.gov/search?id=%22NCT04359615%22,https://clinicaltrials.gov/search?id=%22NCT04363203%22"
"MONDO_0100096","COVID-19","CHEMBL514800","APREMILAST","Small molecule","Phosphodiesterase 4 inhibitor","Inhibitor","PDE4C","phosphodiesterase 4C",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","Potassium channel subfamily K member 3 opener","Opener","KCNK3","potassium two pore domain channel subfamily K member 3",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL384467","DEXAMETHASONE","Small molecule","Glucocorticoid receptor agonist","Agonist","NR3C1","nuclear receptor subfamily 3 group C member 1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04325061%22,https://clinicaltrials.gov/search?id=%22NCT04746430%22"
"MONDO_0100096","COVID-19","CHEMBL902","FAMOTIDINE","Small molecule","Histamine H2 receptor antagonist","Antagonist","HRH2","histamine receptor H2",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04565392%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 7 antagonist","Antagonist","TLR7","toll like receptor 7",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04466540%22,https://clinicaltrials.gov/search?id=%22NCT04715295%22,https://clinicaltrials.gov/search?id=%22NCT04355026%22,https://clinicaltrials.gov/search?id=%22NCT02735707%22,https://clinicaltrials.gov/search?id=%22NCT04362332%22"
"MONDO_0100096","COVID-19","CHEMBL1200699","DOXYCYCLINE","Small molecule","Matrix metalloproteinase-1 inhibitor","Inhibitor","MMP1","matrix metallopeptidase 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04715295%22,https://clinicaltrials.gov/search?id=%22NCT04729140%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A7","cytochrome P450 family 3 subfamily A member 7",4,"Enrolling by invitation","https://clinicaltrials.gov/search?id=%22NCT04350684%22,https://clinicaltrials.gov/search?id=%22NCT04350671%22"
"MONDO_0100096","COVID-19","CHEMBL1201476","ENOXAPARIN SODIUM","Oligosaccharide","Antithrombin-III activator","Activator","SERPINC1","serpin family C member 1",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04360824%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRE","gamma-aminobutyric acid type A receptor subunit epsilon",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1433","DOXYCYCLINE","Small molecule","Matrix metalloproteinase-1 inhibitor","Inhibitor","MMP1","matrix metallopeptidase 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04715295%22,https://clinicaltrials.gov/search?id=%22NCT04729140%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A7","cytochrome P450 family 3 subfamily A member 7",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22,https://clinicaltrials.gov/search?id=%22NCT04255017%22,https://clinicaltrials.gov/search?id=%22NCT04345276%22,https://clinicaltrials.gov/search?id=%22NCT04738045%22"
"MONDO_0100096","COVID-19","CHEMBL1064","SIMVASTATIN","Small molecule","HMG-CoA reductase inhibitor","Inhibitor","HMGCR","3-hydroxy-3-methylglutaryl-CoA reductase",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL1201670","SARGRAMOSTIM","Protein","Granulocyte-macrophage colony-stimulating factor receptor agonist","Agonist","CSF2RA","colony stimulating factor 2 receptor subunit alpha",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04326920%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRE","gamma-aminobutyric acid type A receptor subunit epsilon",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 7 antagonist","Antagonist","TLR7","toll like receptor 7",4,"Withdrawn","https://clinicaltrials.gov/search?id=%22NCT04351919%22,https://clinicaltrials.gov/search?id=%22NCT04338906%22"
"MONDO_0100096","COVID-19","CHEMBL848","LENALIDOMIDE","Small molecule","CRL4(CRBN) E3 ubiquitin ligase inhibitor","Inhibitor","CUL4A","cullin 4A",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04361643%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRA6","gamma-aminobutyric acid type A receptor subunit alpha6",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRQ","gamma-aminobutyric acid type A receptor subunit theta",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL526","PROPOFOL","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRB2","gamma-aminobutyric acid type A receptor subunit beta2",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL1000","CETIRIZINE","Small molecule","Histamine H1 receptor antagonist","Antagonist","HRH1","histamine receptor H1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04836806%22"
"MONDO_0100096","COVID-19","CHEMBL1166","ARGATROBAN","Small molecule","Thrombin inhibitor","Inhibitor","F2","coagulation factor II, thrombin",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04406389%22"
"MONDO_0100096","COVID-19","CHEMBL1535","HYDROXYCHLOROQUINE","Small molecule","Toll-like receptor 9 antagonist","Antagonist","TLR9","toll like receptor 9",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04351191%22,https://clinicaltrials.gov/search?id=%22NCT04341493%22,https://clinicaltrials.gov/search?id=%22NCT04346667%22"
"MONDO_0100096","COVID-19","CHEMBL231779","APIXABAN","Small molecule","Coagulation factor X inhibitor","Inhibitor","F10","coagulation factor X",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04512079%22"
"MONDO_0100096","COVID-19","CHEMBL1200694","SEVOFLURANE","Small molecule","GABA-A receptor; anion channel positive allosteric modulator","Positive allosteric modulator","GABRG1","gamma-aminobutyric acid type A receptor subunit gamma1",4,"Terminated","https://clinicaltrials.gov/search?id=%22NCT04359862%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A5","cytochrome P450 family 3 subfamily A member 5",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04291729%22"
"MONDO_0100096","COVID-19","CHEMBL1370","BUDESONIDE","Small molecule","Glucocorticoid receptor agonist","Agonist","NR3C1","nuclear receptor subfamily 3 group C member 1",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04355637%22"
"MONDO_0100096","COVID-19","CHEMBL163","RITONAVIR","Small molecule","Cytochrome P450 3A inhibitor","Inhibitor","CYP3A4","cytochrome P450 family 3 subfamily A member 4",4,"Enrolling by invitation","https://clinicaltrials.gov/search?id=%22NCT04350684%22,https://clinicaltrials.gov/search?id=%22NCT04350671%22"
"MONDO_0100096","COVID-19","CHEMBL1237022","TOCILIZUMAB","Antibody","Interleukin-6 receptor alpha subunit inhibitor","Inhibitor","IL6R","interleukin 6 receptor",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04730323%22"
"MONDO_0100096","COVID-19","CHEMBL521","IBUPROFEN","Small molecule","Cyclooxygenase inhibitor","Inhibitor","PTGS2","prostaglandin-endoperoxide synthase 2",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04334629%22"
"MONDO_0100096","COVID-19","CHEMBL514800","APREMILAST","Small molecule","Phosphodiesterase 4 inhibitor","Inhibitor","PDE4D","phosphodiesterase 4D",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
"MONDO_0100096","COVID-19","CHEMBL1042","CHOLECALCIFEROL","Small molecule","Vitamin D receptor agonist","Agonist","VDR","vitamin D receptor",4,"Not yet recruiting","https://clinicaltrials.gov/search?id=%22NCT04952857%22"
"MONDO_0100096","COVID-19","CHEMBL1433","DOXYCYCLINE","Small molecule","Matrix metalloproteinase 8 inhibitor","Inhibitor","MMP8","matrix metallopeptidase 8",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04729140%22,https://clinicaltrials.gov/search?id=%22NCT04715295%22"
"MONDO_0100096","COVID-19","CHEMBL160","CYCLOSPORINE","Protein","Cyclophilin A modulator","Modulator","PPIA","peptidylprolyl isomerase A",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT04392531%22"
"MONDO_0100096","COVID-19","CHEMBL1200699","DOXYCYCLINE","Small molecule","Matrix metalloproteinase-1 inhibitor","Inhibitor","MMP1","matrix metallopeptidase 1",4,"Completed","https://clinicaltrials.gov/search?id=%22NCT04370782%22"
"MONDO_0100096","COVID-19","CHEMBL501259","ERITORAN","Small molecule","Toll-like receptor 4/MD-2 antagonist","Antagonist","TLR4","toll like receptor 4",4,"Recruiting","https://clinicaltrials.gov/search?id=%22NCT02735707%22"
